"Species group","Common name","Scientific name","Wild-caught or farmed","Edible fraction","Low GHG","High GHG","Median GHG","5-nutrient density, %"
"Salmonidae","Pink salmon","Oncorhynchus gorbuscha","Wild",62,0.8,3.7,2.25,226
"Salmonidae","Rainbow trout","Oncorhynchus mykiss","Farmed",49.3,3,8.7,5.85,228
"Whitefish","Saithe","Pollachius virens","Wild",51.7,1.9,2,1.95,163
"Salmonidae","Sea trout","Salmo trutta","Farmed",57.4,1.3,8.2,4.75,214
 ,"Siberian sturgeon","Acipenser baerii","Farmed",60.5,1.9,14.7,8.3,179
"Freshwater fish","Silver carp","Hypophthalmichthys molitrix","Farmed",47.5,0.7,12.8,6.75,190
"Pelagic (large)","Silver pomfrets","Pampus argenteus","Wild",46.3,1.5,4.3,2.9,142
"Tuna","Skipjack tuna","Katsuwonus pelamis","Wild",64.2,1.6,6.3,3.95,195
"Salmonidae","Sockeye salmon","Oncorhynchus nerka","Wild",62,1.6,4.8,3.2,218
"Pelagic (small)","South American pilchard","Sardinops sagax","Wild",53,0.4,1.6,1,229
"Whitefish","Southern blue whiting","Micromesistius australis","Wild",50.3,1,1.1,1.05,83
"Tuna","Southern bluefin tuna","Thunnus maccoyii","Farmed",58,4.7,6.8,5.75,169
"Tuna","Southern bluefin tuna","Thunnus maccoyii","Wild",58,5,10.2,7.6,169
"Tuna","Swordfish","Xiphias gladius","Wild",67.9,6.8,11.9,9.35,140
"Whitefish","Turbot","Scophthalmus maximus","Farmed",43,13.1,27.7,20.4,148
"Whitefish","Yellowfin sole","Limanda aspera","Wild",49,11.5,13.7,12.6,98
"Tuna","Yellowfin tuna","Thunnus albacares","Wild",61.3,1.8,8.7,5.25,185
"Crustacean","American lobster","Homarus americanus","Wild",30,5,18.3,11.65,168
"Bivalve","American sea scallop","Placopecten magellanicus","Wild",10.7,1.5,1.6,1.55,168
"Crustacean","Antarctic krill","Euphausia superba","Wild",12.5,0.5,0.8,0.65,168
"Crustacean","Argentine red shrimp","Pleoticus muelleri","Wild",58,5.7,15.4,10.55,168
"Cephalopod","Argentine shortfin squid","Illex argentinus","Wild",67,1.1,5.3,3.2,168
"Crustacean","Australian spiny lobster","Panulirus cygnus","Wild",25,3.9,16.8,10.35,168
"Crustacean","Banana prawn","Penaeus merguiensis","Wild",57,7.2,16.3,11.75,179
"Crustacean","Blue swimmer crab","Portunus armatus","Wild",25,4.5,24.6,14.55,179
"Crustacean","Brown tiger prawn","Penaeus esculentus","Wild",58,20,34.8,27.4,179
"Crustacean","Caribbean spiny lobster","Panulirus argus","Wild",25,5.5,22.5,14,168
"Crustacean","Dungeness crab","Cancer magister","Wild",24.5,5.2,18.9,12.05,168
"Crustacean","Giant river prawn","Macrobrachium rosenbergii","Farmed",58,3.06,6.8,4.93,179
"Crustacean","Giant tiger prawn","Penaeus monodon","Farmed",57,2.6,6.1,4.35,179
"Crustacean","Giant tiger prawn","Penaeus monodon","Wild",57,20,34.8,27.4,179
"Bivalve","New Zealand mussel","Perna canaliculus","Farmed",25,0.04,0.2,0.12,168
"Crustacean","Northern brown shrimp","Farfantepenaeus aztecus","Wild",57,8.5,9,8.75,168
"Crustacean","Northern white shrimp","Litopenaeus setiferus","Wild",57,8.5,9,8.75,168
"Bivalve","Queen scallop","Aequipecten opercularis","Wild",12.1,1.2,3.2,2.2,168
 ,"Snappers","Lutjanus","Wild",46.3,2.2,4.3,3.25,138
"Crustacean","Southern pink shrimp","Farfantepenaeus notialis","Wild",57,2.9,8.6,5.75,168
"Crustacean","Southern rock lobster","Jasus edwardsii","Wild",25,12.4,30.2,21.3,168
 ,"Threadfin breams","Nemipterus","Wild",46.3,3.1,3.6,3.35,180
"Crustacean","Whiteleg shrimp","Penaeus vannamei","Farmed",57,2.6,6.1,4.35,179
