Food Item ID,Code,Subgroup,"Country, region",Type,ISSCAAP,3_alpha,Food name in own language,Food name in English,Processing,Scientific name,ASFIS English name,ASFIS Scientific name,Season,Other,n,Comments on data processing/methods,Publication year,BiblioID,Compiler,Latest revision in version,EDIBLE,PROTCNT(g),PROTCNP(g),PROT-(g),CA(mg),FE(mg),SE(mcg),ZN(mg),VITA_RAE(mcg),VITA-(mcg),FAPUN3(g),FAPUCN3(g),FAPULCCN3(g),FAN3(g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,as used in version 1.0 and 1.1,,sampling place,"C: Cultivar, V: Variety, BC: Breeding Clone, B: Breed, W: Wild, U: Underutilized",,,,,"r: raw, d: dried, p: processed",,,,sampling season,additional information on factors influencing the nutrient composition,number of independent analytical samples,,,,,,edible portion coefficient,"protein, total; calculated from total nitrogen ","protein, total; calculated from protein nitrogen","protein, total; method of determination unknown or variable",calcium,"iron, total",selenium,zink,Total vitamin A (mcg RAE),vitamin A; method of determination unknown,"fatty acids, total n-3 polyunsaturated","fatty acids, total n-3 polyunsaturated in cis configuration","fatty acids, total n-3 long-chain polyunsaturated in cis configuration","fatty acid, total n-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900487,0900487,Crustacean,"Greece, Aegean Sea",W,45,ARA,Garida,"Shrimp, wild, edible flesh, raw",r,Aristeus antennatus,Blue and red shrimp,Aristeus antennatus,Fall,,,FAT- (analyzed according to AOAC 1975),1995,fi80,DR,2.0,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900488,0900488,Crustacean,"Greece, Aegean Sea",W,45,ARA,Garida,"Shrimp, wild, edible flesh, raw",r,Aristeus antennatus,Blue and red shrimp,Aristeus antennatus,Winter,,,FAT- (analyzed according to AOAC 1975),1995,fi80,DR,2.0,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900549,0900549,Crustacean,"Malaysia, West coast of Peninsular",W,45,MTJ,Udang putih,"Prawn, wild, flesh, raw",r,Metapenaeus affinis,Jinga shrimp,Metapenaeus affinis,,"length and weight: 12-17cm, 10-20g",3,,2011,fi88,DR,2.0,,19.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900786,0900786,Crustacean,"USA, LA, Atchafalaya Basin",W,41,RCW,,"Red swamp crayfish, wild, tail meat, raw",r,Procambarus clarkii,Red swamp crawfish,Procambarus clarkii,Mar 1989,,1,"FAT (analyzed according to AOAC 1984, method 43.257-43.277); tr= VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g",1992,fi120,DR,2.1,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900787,0900787,Crustacean,"USA, LA, Atchafalaya Basin",W,41,RCW,,"Red swamp crayfish, wild, tail meat, raw",r,Procambarus clarkii,Red swamp crawfish,Procambarus clarkii,Jun 1989,,1,"FAT (analyzed according to AOAC 1984, method 43.257-43.277); tr= VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g",1992,fi120,DR,2.1,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900790,0900790,Crustacean,"USA, LA, Atchafalaya Basin",W,41,PCC,,"White River crayfish, wild, tail meat, raw",r,Procambarus acutus acutus,White crawfish,Procambarus acutus,Mar 1989,,1,"FAT (analyzed according to AOAC 1984, method 43.257-43.277); tr= VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g",1992,fi120,DR,2.1,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900791,0900791,Crustacean,"USA, LA, Atchafalaya Basin",W,41,PCC,,"White River crayfish, wild, tail meat, raw",r,Procambarus acutus acutus,White crawfish,Procambarus acutus,Jun 1989,,1,"FAT (analyzed according to AOAC 1984, method 43.257-43.277); tr= VitC <1.0 mg/100g; CARTB <10mcg/100g; CHO <0.1g/100g; RIBF <0.02mg/100g",1992,fi120,DR,2.1,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900990,0900990,Crustacean,"USA, Astoria Canyon, North Pacific",W,45,PJK,,"Pacific shrimp, wild, edible flesh (peeled), raw",r,Pandalus jordani,Ocean shrimp,Pandalus jordani,Aug 1977,,2,,1979,fi156,DR,2.0,,16.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900993,0900993,Crustacean,"USA, OR, North Pacific",W,45,PJK,,"Pacific shrimp, wild, edible flesh (peeled), raw",r,Pandalus jordani,Ocean shrimp,Pandalus jordani,Sep 1977,,2,,1979,fi156,DR,2.0,,18.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900996,0900996,Crustacean,"USA, CA, North Pacific",W,45,PJK,,"Pacific shrimp, wild, edible flesh (peeled), raw",r,Pandalus jordani,Ocean shrimp,Pandalus jordani,Sep 1977,,2,,1979,fi156,DR,2.0,,17.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901010,0901010,Crustacean,"Portugal, Algarve (off coast)",W,43,NEP,,"Norway lobster, wild, male, edible muscle, raw",r,Nephrops norvegicus,Norway lobster,Nephrops norvegicus,,,5,Se content <40mcg/100g FW,2009,fi162,DR,2.0,,,,,110,1.99,tr,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901011,0901011,Crustacean,"Portugal, Algarve (off coast)",W,43,NEP,,"Norway lobster, wild, female, edible muscle, raw",r,Nephrops norvegicus,Norway lobster,Nephrops norvegicus,,,5,Se content <40mcg/100g FW,2009,fi162,DR,2.0,,,,,90,2,tr,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901017,0901017,Crustacean,"USA, ME, Atlantic Ocean, Gulf of Maine",W,42,CRG,,"Green crab, wild, claw meat, raw",r,Carcinus maenus,Green crab,Carcinus maenas,Nov 2000,,3,,2002,fi164,DR,2.0,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901018,0901018,Crustacean,"Russia, Sea of Japan, Tatar Strait",W,44,KCD,,"Red king crab, wild, male, muscle flesh, raw",r,Paralithodes camtschaticus,Red king crab,Paralithodes camtschaticus,Summer-Autumn 2005,,1,FA converted using XFA,2009,fi165,DR,2.0,,,,,,,,,,,0.13150784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901019,0901019,Crustacean,"Russia, Sea of Japan, Tatar Strait",W,44,KCD,,"Red king crab, wild, male, hepatopancreas, raw",r,Paralithodes camtschaticus,Red king crab,Paralithodes camtschaticus,Summer-Autumn 2005,,1,FA converted using XFA,2009,fi165,DR,2.0,,,,,,,,,,,3.8694944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901020,0901020,Crustacean,"Russia, Okhotsk Sea, off Iona Island",W,44,KCI,,"Blue king crab, wild, male, muscle flesh, raw",r,Paralithodes platypus,Blue king crab,Paralithodes platypus,Summer-Autumn 2005,,1,FA converted using XFA,2009,fi165,DR,2.0,,,,,,,,,,,0.1346688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901021,0901021,Crustacean,"Russia, Okhotsk Sea, off Iona Island",W,44,KCI,,"Blue king crab, wild, male, hepatopancreas, raw",r,Paralithodes platypus,Blue king crab,Paralithodes platypus,Summer-Autumn 2005,,1,FA converted using XFA,2009,fi165,DR,2.0,,,,,,,,,,,5.503461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901022,0901022,Crustacean,"Russia, Okhotsk Sea, northeastern coast of Sakhalin Island",W,42,CRQ,,"Queen crab, wild, male, muscle flesh, raw",r,Chionoecetes opilio,Queen crab,Chionoecetes opilio,Summer-Autumn 2005,,1,FA converted using XFA,2009,fi165,DR,2.0,,,,,,,,,,,0.62746712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901023,0901023,Crustacean,"Russia, Okhotsk Sea, northeastern coast of Sakhalin Island",W,42,CRQ,,"Queen crab, wild, male, hepatopancreas, raw",r,Chionoecetes opilio,Queen crab,Chionoecetes opilio,Summer-Autumn 2005,,1,FA converted using XFA,2009,fi165,DR,2.0,,,,,,,,,,,2.783495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901024,0901024,Crustacean,"Russia, Okhotsk Sea, northeastern coast of Sakhalin Island",W,42,PCR,,"Crab, wild, male muscle flesh, raw",r,Chionoecetes angulatus,Tanner crabs nei,Chionoecetes spp,Summer-Autumn 2005,,1,FA converted using XFA,2009,fi165,DR,2.0,,,,,,,,,,,0.051644027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901025,0901025,Crustacean,"Russia, Okhotsk Sea, northeastern coast of Sakhalin Island",W,42,PCR,,"Crab, wild, male, hepatopancreas, raw",r,Chionoecetes angulatus,Tanner crabs nei,Chionoecetes spp,Summer-Autumn 2005,,1,FA converted using XFA,2009,fi165,DR,2.0,,,,,,,,,,,3.2333324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901026,0901026,Crustacean,"Russia, Okhotsk Sea, northeastern coast of Sakhalin Island",W,42,PCR,,"Crab, wild, male, muscle flesh, raw",r,Chionoecetes japonicus,Tanner crabs nei,Chionoecetes spp,Summer-Autumn 2005,,1,FA converted using XFA,2009,fi165,DR,2.0,,,,,,,,,,,0.27853632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
